target,feature_count,features,split,held_out_group,n_usable,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,forest,21,17,4,0.0,1.0,,0.09119078108639374
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,lake,21,15,6,0.0,1.0,,0.061884309107822895
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,snow,21,20,1,0.0,1.0,,0.40629780651378145
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_content_family_out,wave,21,18,3,0.0,1.0,,0.12142310631570456
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,demuth,21,17,4,0.25,0.75,0.5,0.15978075272140935
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,hokusai,21,18,3,0.3333333333333333,0.6666666666666666,0.5,0.037639811390982984
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,kulhanek,21,17,4,0.0,1.0,,0.19546626924153712
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,monet,21,16,5,0.2,0.8,0.5,0.14245226990675214
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,peixotto,21,19,2,0.0,1.0,,0.1037107871291281
initial_susceptibility,2,content_canny_density+clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,van_gogh,21,18,3,0.0,1.0,,0.11920811566986543
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,church,21,17,4,0.0,0.75,,0.42408238618588634
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,city,21,19,2,1.0,0.0,,0.08840006846578743
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,coast,21,20,1,1.0,0.0,,0.05955844486390298
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,forest,21,17,4,0.0,1.0,,0.07896552175600072
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,lake,21,15,6,0.0,1.0,,0.03220538434069377
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,snow,21,20,1,0.0,1.0,,0.40395590816131816
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_content_family_out,wave,21,18,3,0.0,1.0,,0.13909744639356528
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,demuth,21,17,4,0.25,0.75,0.5,0.1616423736697097
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,hokusai,21,18,3,0.3333333333333333,0.6666666666666666,0.5,0.035376546271409855
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,kulhanek,21,17,4,0.0,1.0,,0.19901779127914343
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,monet,21,16,5,0.2,0.8,0.5,0.13475198625281154
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,peixotto,21,19,2,0.0,1.0,,0.11191720952204293
initial_susceptibility,3,content_canny_density+clip_patch_mutual_nearest_fraction+content_lsd_orientation_entropy,leave_one_reference_family_out,van_gogh,21,18,3,0.0,1.0,,0.1204363176365233
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,church,20,15,5,0.4,0.4,0.3333333333333333,0.3480802301333065
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,city,20,19,1,0.0,1.0,,0.1274123219699751
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,coast,20,19,1,0.0,1.0,,0.13485238916760237
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,forest,20,18,2,0.0,1.0,,0.10076089311688098
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,lake,20,14,6,0.0,1.0,,0.16744735658601403
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,snow,20,19,1,0.0,1.0,,0.19086527968603023
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_content_family_out,wave,20,16,4,0.25,0.75,0.5,0.1239594512237416
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,demuth,20,15,5,0.2,0.8,0.5,0.09229872118690947
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,hokusai,20,17,3,0.3333333333333333,0.6666666666666666,0.5,0.12174130293670948
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,kulhanek,20,16,4,0.0,1.0,,0.16241142592720006
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,monet,20,17,3,0.0,1.0,,0.19647036613524724
style_responsiveness,1,clip_patch_mutual_nearest_fraction,leave_one_reference_family_out,peixotto,20,18,2,0.5,0.5,0.5,0.11162260182146262
