target,feature,n_low,n_high,median_low,median_high,high_minus_low,cliffs_delta_high_vs_low
style_valid,reference_div_content_lsd_orientation_entropy,3,20,1.4626723042755132,1.141357444317533,-0.32131485995798026,-0.1
style_valid,reference_lsd_orientation_max_share,3,20,0.22672772579122505,0.22672772579122505,0.0,0.31666666666666665
style_valid,reference_minus_content_lsd_orientation_max_share,3,20,-0.2680885397932965,-0.10337134310944328,0.1647171966838532,0.4
style_valid,reference_div_content_lsd_orientation_max_share,3,20,0.4582058868323454,0.6560873891530306,0.19788150232068513,0.4
style_valid,lab_mean_distance,3,20,118.83293380107752,28.515339390983492,-90.31759441009402,-0.4
style_valid,lab_std_distance,3,20,29.551084858170448,19.69041995694466,-9.860664901225789,-0.4
style_valid,contrast_abs_difference,3,20,34.00154113769531,9.692449569702148,-24.309091567993164,-0.6
style_valid,log_laplacian_variance_ratio,3,20,0.649699075829368,0.472434633782435,-0.17726444204693304,-0.06666666666666667
style_valid,high_frequency_abs_difference,3,20,0.112568968871813,0.025039100036871015,-0.08752986883494199,-0.7333333333333333
style_valid,color_histogram_distance,3,20,0.3881097137928009,0.4463246166706085,0.05821490287780762,0.26666666666666666
style_valid,orientation_distribution_js,3,20,0.09476915007869047,0.12186994079025912,0.02710079071156865,-0.16666666666666666
style_valid,rgb_patch_nearest_cosine_mean,3,20,0.996171236038208,0.9890112280845642,-0.007160007953643799,-0.7333333333333333
style_valid,rgb_patch_nearest_cosine_p10,3,20,0.9933346807956696,0.9728378802537918,-0.020496800541877747,-0.7333333333333333
style_valid,rgb_patch_mutual_nearest_fraction,3,20,0.0703125,0.0703125,0.0,-0.08333333333333333
style_valid,clip_global_cosine,3,20,0.3809334635734558,0.256057009100914,-0.12487645447254181,-0.5666666666666667
style_valid,clip_patch_nearest_mean,3,20,0.5084426403045654,0.4960283488035202,-0.012414291501045227,-0.1
style_valid,clip_patch_nearest_p10,3,20,0.43701939284801483,0.4176585376262665,-0.019360855221748352,-0.23333333333333334
style_valid,clip_patch_mutual_nearest_fraction,3,20,0.08984375,0.06640625,-0.0234375,-0.23333333333333334
style_valid,dino_global_cosine,3,20,0.025926697999238968,0.021909616887569427,-0.00401708111166954,-0.4
style_valid,dino_patch_nearest_mean,3,20,0.31329381465911865,0.2694322317838669,-0.04386158287525177,-0.13333333333333333
style_valid,dino_patch_nearest_p10,3,20,0.24905992299318314,0.1769210658967495,-0.07213885709643364,-0.23333333333333334
style_valid,dino_patch_mutual_nearest_fraction,3,20,0.09765625,0.083984375,-0.013671875,-0.36666666666666664
baseline_takeover_02,content_canny_density,18,3,0.07459259033203125,0.18457794189453125,0.1099853515625,0.8148148148148148
baseline_takeover_02,content_lsd_line_density,18,3,0.04490799829363823,0.045013975352048874,0.00010597705841064453,-0.3333333333333333
baseline_takeover_02,content_lsd_length_mean,18,3,16.797773361206055,14.425602912902832,-2.3721704483032227,-0.25925925925925924
baseline_takeover_02,content_lsd_length_p90,18,3,29.034586524963395,23.554514694213882,-5.480071830749512,-0.25925925925925924
baseline_takeover_02,content_lsd_orientation_entropy,18,3,0.5980039911605619,0.884005503207035,0.28600151204647306,0.5555555555555556
baseline_takeover_02,content_lsd_orientation_max_share,18,3,0.4366042702141263,0.21503254075616465,-0.22157172945796164,-0.5555555555555556
baseline_takeover_02,reference_canny_density,18,3,0.14242935180664062,0.12119293212890625,-0.021236419677734375,-0.24074074074074073
baseline_takeover_02,reference_minus_content_canny_density,18,3,0.05925750732421875,-0.02091217041015625,-0.080169677734375,-0.6296296296296297
baseline_takeover_02,reference_div_content_canny_density,18,3,1.7227761455364443,0.8867027652626793,-0.836073380273765,-0.6296296296296297
baseline_takeover_02,reference_lsd_line_density,18,3,0.05479323863983154,0.050003424286842346,-0.004789814352989197,-0.24074074074074073
baseline_takeover_02,reference_minus_content_lsd_line_density,18,3,0.013393433764576912,0.009779263287782669,-0.003614170476794243,0.07407407407407407
baseline_takeover_02,reference_div_content_lsd_line_density,18,3,1.3666952623095217,1.2172494922143675,-0.14944577009515414,0.14814814814814814
baseline_takeover_02,reference_lsd_length_mean,18,3,14.241084098815918,14.8955659866333,0.6544818878173828,0.05555555555555555
baseline_takeover_02,reference_minus_content_lsd_length_mean,18,3,-0.442934513092041,2.493279457092285,2.936213970184326,0.3333333333333333
baseline_takeover_02,reference_div_content_lsd_length_mean,18,3,0.9597205060450191,1.201033853810226,0.24131334776520696,0.2962962962962963
baseline_takeover_02,reference_lsd_length_p90,18,3,25.988325881958005,28.061481475830078,2.073155593872073,0.05555555555555555
baseline_takeover_02,reference_minus_content_lsd_length_p90,18,3,-0.12691106796265395,7.869665527343749,7.9965765953064025,0.2962962962962963
baseline_takeover_02,reference_div_content_lsd_length_p90,18,3,1.0001119008806563,1.3897453080704063,0.38963340718975004,0.2962962962962963
baseline_takeover_02,reference_lsd_orientation_entropy,18,3,0.8746838757167728,0.8991099094142958,0.024426033697523053,0.35185185185185186
baseline_takeover_02,reference_minus_content_lsd_orientation_entropy,18,3,0.2376976627286838,0.015104406207260834,-0.22259325652142298,-0.4074074074074074
baseline_takeover_02,reference_div_content_lsd_orientation_entropy,18,3,1.397485077427958,1.0170863259928409,-0.38039875143511703,-0.4074074074074074
baseline_takeover_02,reference_lsd_orientation_max_share,18,3,0.23416880063078613,0.163031348567863,-0.07113745206292313,-0.5740740740740741
baseline_takeover_02,reference_minus_content_lsd_orientation_max_share,18,3,-0.14237740242152805,-0.052001192188301654,0.0903762102332264,0.2962962962962963
baseline_takeover_02,reference_div_content_lsd_orientation_max_share,18,3,0.5984096510668828,0.7581705912721917,0.15976094020530884,0.18518518518518517
baseline_takeover_02,lab_mean_distance,18,3,30.737706657025246,15.316017035145894,-15.421689621879352,-0.3333333333333333
baseline_takeover_02,lab_std_distance,18,3,21.836372706538896,8.890305669108361,-12.946067037430534,-0.5185185185185185
baseline_takeover_02,contrast_abs_difference,18,3,12.578540802001953,9.840999603271484,-2.7375411987304688,-0.1111111111111111
baseline_takeover_02,log_laplacian_variance_ratio,18,3,0.6141071301662779,-0.9293308202200329,-1.543437950386311,-0.4074074074074074
baseline_takeover_02,high_frequency_abs_difference,18,3,0.0473452797984181,0.14536331641671696,0.09801803661829886,0.4444444444444444
