target,feature_count,features,split,held_out_group,n_train,n_test,test_positive_rate,accuracy,balanced_accuracy,mean_positive_probability
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_snow_winter.jpg,11,1,1.0,1.0,,0.700436973114383
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_content_family_out,photo_water_lake_and_boat.jpg,9,3,0.3333333333333333,0.6666666666666666,0.5,0.2956278919478501
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_reference_family_out,demuth,7,5,0.4,0.6,0.5,0.27176315162426085
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_reference_family_out,hokusai,10,2,0.5,1.0,1.0,0.536901310460014
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_reference_family_out,kulhanek,9,3,0.3333333333333333,1.0,1.0,0.36225348820444775
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_reference_family_out,peixotto,11,1,0.0,1.0,,0.24114474631499666
style_responsiveness,2,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10,leave_one_reference_family_out,van_gogh,11,1,1.0,1.0,,0.9997518834705638
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_forest_trees.jpg,10,2,0.0,1.0,,0.06709524475430328
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_lecreusois_church.jpg,10,2,1.0,1.0,,0.8231795201592883
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_sea_coast.jpg,11,1,0.0,1.0,,0.19454815194858344
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_sea_wave.jpg,10,2,0.5,1.0,1.0,0.4410749126998009
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_seregei_street.jpg,11,1,0.0,1.0,,0.3875632442552266
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_snow_winter.jpg,11,1,1.0,1.0,,0.800914567223955
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_content_family_out,photo_water_lake_and_boat.jpg,9,3,0.3333333333333333,1.0,1.0,0.32909444377799596
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_reference_family_out,demuth,7,5,0.4,0.6,0.5,0.280055944210324
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_reference_family_out,hokusai,10,2,0.5,1.0,1.0,0.46571897129519535
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_reference_family_out,kulhanek,9,3,0.3333333333333333,1.0,1.0,0.36090296160362256
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_reference_family_out,peixotto,11,1,0.0,1.0,,0.3213489534952282
style_responsiveness,3,clip_patch_mutual_nearest_fraction+dino_patch_nearest_p10+dino_patch_nearest_mean,leave_one_reference_family_out,van_gogh,11,1,1.0,1.0,,0.9999434653783147
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_forest_trees.jpg,11,2,1.0,1.0,,0.826270362285723
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_lecreusois_church.jpg,11,2,1.0,1.0,,0.9219890125886951
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_sea_coast.jpg,12,1,1.0,1.0,,0.9603182900570005
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_sea_wave.jpg,11,2,1.0,0.0,,0.42961313168384085
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_seregei_street.jpg,11,2,0.5,0.5,0.5,0.652396398309163
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_snow_winter.jpg,12,1,1.0,1.0,,0.8090254953294659
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_content_family_out,photo_water_lake_and_boat.jpg,10,3,0.0,0.0,,0.7864784128627841
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,demuth,8,5,0.8,0.8,0.875,0.5754553728535476
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,hokusai,11,2,1.0,0.5,,0.7016975324836693
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,kulhanek,10,3,0.6666666666666666,0.6666666666666666,0.5,0.7673487777664253
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,monet,12,1,0.0,0.0,,0.654681623674073
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,peixotto,12,1,0.0,1.0,,0.40654198533568925
pressure_escalation,1,reference_div_content_lsd_line_density,leave_one_reference_family_out,van_gogh,12,1,1.0,1.0,,0.972822954680504
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_forest_trees.jpg,11,2,1.0,1.0,,0.819002630204641
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_lecreusois_church.jpg,11,2,1.0,1.0,,0.9643329571889132
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_sea_coast.jpg,12,1,1.0,1.0,,0.9351084540149937
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_sea_wave.jpg,11,2,1.0,0.5,,0.617086187207957
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_seregei_street.jpg,11,2,0.5,1.0,1.0,0.6318484933012489
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_snow_winter.jpg,12,1,1.0,1.0,,0.8467462583439526
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_content_family_out,photo_water_lake_and_boat.jpg,10,3,0.0,0.3333333333333333,,0.6253132274483536
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,demuth,8,5,0.8,0.8,0.5,0.909451726204105
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,hokusai,11,2,1.0,0.5,,0.6779297433426528
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,kulhanek,10,3,0.6666666666666666,1.0,1.0,0.6845698522404488
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,monet,12,1,0.0,1.0,,0.4026775216902698
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,peixotto,12,1,0.0,1.0,,0.179098956224106
pressure_escalation,2,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90,leave_one_reference_family_out,van_gogh,12,1,1.0,1.0,,0.9397539357394242
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_forest_trees.jpg,11,2,1.0,1.0,,0.7664230013353792
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_lecreusois_church.jpg,11,2,1.0,1.0,,0.9792116590314399
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_sea_coast.jpg,12,1,1.0,1.0,,0.9539559231316224
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_sea_wave.jpg,11,2,1.0,1.0,,0.7422318055735068
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_seregei_street.jpg,11,2,0.5,0.5,0.5,0.8112261652884278
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_snow_winter.jpg,12,1,1.0,1.0,,0.8814078910690841
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_content_family_out,photo_water_lake_and_boat.jpg,10,3,0.0,0.3333333333333333,,0.4889667395162567
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,demuth,8,5,0.8,1.0,1.0,0.8605447124201338
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,hokusai,11,2,1.0,1.0,,0.7776827617935385
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,kulhanek,10,3,0.6666666666666666,1.0,1.0,0.601281308565138
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,monet,12,1,0.0,0.0,,0.7233695331911963
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,peixotto,12,1,0.0,1.0,,0.08251536912016683
pressure_escalation,3,reference_div_content_lsd_line_density+reference_div_content_lsd_length_p90+content_lsd_length_mean,leave_one_reference_family_out,van_gogh,12,1,1.0,1.0,,0.9646670467905049
