target,subset,feature,n,spearman_rho
style_gain_if_valid,multiseed_style_valid_true_only,rgb_patch_mutual_nearest_fraction,9,-0.1788282223219164
style_gain_if_valid,multiseed_style_valid_true_only,clip_global_cosine,9,-0.1684651392563283
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_nearest_mean,9,0.34579686478930544
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_nearest_p10,9,0.08866586276648858
style_gain_if_valid,multiseed_style_valid_true_only,clip_patch_mutual_nearest_fraction,9,0.7078491507150851
style_gain_if_valid,multiseed_style_valid_true_only,dino_global_cosine,9,0.5142620040456337
style_gain_if_valid,multiseed_style_valid_true_only,dino_patch_nearest_mean,9,0.744793247238504
style_gain_if_valid,multiseed_style_valid_true_only,dino_patch_nearest_p10,9,0.6561273844720155
style_gain_if_valid,multiseed_style_valid_true_only,dino_patch_mutual_nearest_fraction,9,0.16471961368841603
incremental_takeover_max,multiseed_9_pairs,content_canny_density,9,0.552344770738994
incremental_takeover_max,multiseed_9_pairs,content_lsd_line_density,9,-0.552344770738994
incremental_takeover_max,multiseed_9_pairs,content_lsd_length_mean,9,-0.552344770738994
incremental_takeover_max,multiseed_9_pairs,content_lsd_length_p90,9,-0.552344770738994
incremental_takeover_max,multiseed_9_pairs,content_lsd_orientation_entropy,9,0.552344770738994
incremental_takeover_max,multiseed_9_pairs,content_lsd_orientation_max_share,9,-0.41425857805424554
incremental_takeover_max,multiseed_9_pairs,reference_canny_density,9,0.30151134457776363
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_canny_density,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,reference_div_content_canny_density,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,reference_lsd_line_density,9,0.0
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_lsd_line_density,9,0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_div_content_lsd_line_density,9,0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_lsd_length_mean,9,-0.30151134457776363
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_lsd_length_mean,9,0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,reference_div_content_lsd_length_mean,9,0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_lsd_length_p90,9,-0.30151134457776363
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_lsd_length_p90,9,0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,reference_div_content_lsd_length_p90,9,0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_lsd_orientation_entropy,9,0.15075567228888181
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_lsd_orientation_entropy,9,-0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_div_content_lsd_orientation_entropy,9,-0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,reference_lsd_orientation_max_share,9,0.0
incremental_takeover_max,multiseed_9_pairs,reference_minus_content_lsd_orientation_max_share,9,0.4107919181288746
incremental_takeover_max,multiseed_9_pairs,reference_div_content_lsd_orientation_max_share,9,0.4107919181288746
incremental_takeover_max,multiseed_9_pairs,lab_mean_distance,9,0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,lab_std_distance,9,-0.4107919181288746
incremental_takeover_max,multiseed_9_pairs,contrast_abs_difference,9,-0.4107919181288746
incremental_takeover_max,multiseed_9_pairs,log_laplacian_variance_ratio,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,high_frequency_abs_difference,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,color_histogram_distance,9,0.27386127875258304
incremental_takeover_max,multiseed_9_pairs,orientation_distribution_js,9,-0.5477225575051661
incremental_takeover_max,multiseed_9_pairs,rgb_patch_nearest_cosine_mean,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,rgb_patch_nearest_cosine_p10,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,rgb_patch_mutual_nearest_fraction,9,-0.06904309634237425
incremental_takeover_max,multiseed_9_pairs,clip_global_cosine,9,0.0
incremental_takeover_max,multiseed_9_pairs,clip_patch_nearest_mean,9,0.0
incremental_takeover_max,multiseed_9_pairs,clip_patch_nearest_p10,9,0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,clip_patch_mutual_nearest_fraction,9,0.06875238727711584
incremental_takeover_max,multiseed_9_pairs,dino_global_cosine,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,dino_patch_nearest_mean,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,dino_patch_nearest_p10,9,-0.13693063937629152
incremental_takeover_max,multiseed_9_pairs,dino_patch_mutual_nearest_fraction,9,-0.41251432366269514
incremental_nonzero_count,multiseed_9_pairs,content_canny_density,9,0.2960679368817968
incremental_nonzero_count,multiseed_9_pairs,content_lsd_line_density,9,-0.0740169842204492
incremental_nonzero_count,multiseed_9_pairs,content_lsd_length_mean,9,-0.4441019053226951
incremental_nonzero_count,multiseed_9_pairs,content_lsd_length_p90,9,-0.3793370441298021
incremental_nonzero_count,multiseed_9_pairs,content_lsd_orientation_entropy,9,0.37008492110224595
incremental_nonzero_count,multiseed_9_pairs,content_lsd_orientation_max_share,9,-0.3608327980746898
incremental_nonzero_count,multiseed_9_pairs,reference_canny_density,9,-0.27272727272727276
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_canny_density,9,-0.37616261975150656
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_canny_density,9,-0.4403855060505442
incremental_nonzero_count,multiseed_9_pairs,reference_lsd_line_density,9,0.21212121212121213
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_lsd_line_density,9,0.0642228862990377
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_lsd_line_density,9,0.1284457725980754
incremental_nonzero_count,multiseed_9_pairs,reference_lsd_length_mean,9,0.27272727272727276
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_lsd_length_mean,9,0.6330541649476573
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_lsd_length_mean,9,0.7981987297166114
incremental_nonzero_count,multiseed_9_pairs,reference_lsd_length_p90,9,0.27272727272727276
incremental_nonzero_count,multiseed_9_pairs,reference_minus_content_lsd_length_p90,9,0.6330541649476573
incremental_nonzero_count,multiseed_9_pairs,reference_div_content_lsd_length_p90,9,0.7981987297166114
incremental_nonzero_count,multiseed_9_pairs,reference_lsd_orientation_entropy,9,-0.27272727272727276
